問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
ルフィの夢は何ですか？,海賊王になること,世界一の大剣豪になること,オールブルーを見つけること,世界の全ての財宝を見つけること,1,"ルフィの夢は、ゴムゴムの実の能力者として海賊王になることです。",1
ゾロの最終的な目標は何ですか？,海賊王になること,世界一の大剣豪になること,オールブルーを見つけること,世界の全ての財宝を見つけること,2,"ゾロは、ミホークを超える世界一の大剣豪になることを目指しています。",1
サンジの夢は何ですか？,海賊王になること,世界一の大剣豪になること,オールブルーを見つけること,世界の全ての財宝を見つけること,3,"サンジは、幻の海「オールブルー」を見つけることを夢見ています。",1
ナミの目標は何ですか？,世界地図を描くこと,世界一の大剣豪になること,オールブルーを見つけること,世界の全ての財宝を見つけること,1,"ナミは、世界中の海の地図を描くことを目標としています。",1
ウソップの夢は何ですか？,勇敢な海の戦士になること,世界一の大剣豪になること,オールブルーを見つけること,世界の全ての財宝を見つけること,1,"ウソップは、父親のような勇敢な海の戦士になることを夢見ています。",1
チョッパーは何の動物ですか？,トナカイ,パンダ,犬,猫,1,"チョッパーは、ヒトヒトの実を食べたトナカイです。",1
ロビンは何の能力者ですか？,ハナハナの実,ゴムゴムの実,メラメラの実,バラバラの実,1,"ロビンは、体の好きな場所から花のように手足を生やすことができるハナハナの実の能力者です。",1
フランキーは何を改造していますか？,自分の体,船,武器,家,1,"フランキーは、自分の体をサイボーグに改造しています。",1
ブルックは何の実の能力者ですか？,ヨミヨミの実,ゴムゴムの実,メラメラの実,バラバラの実,1,"ブルックは、一度死んで魂が体に戻るヨミヨミの実の能力者です。",1
ジンベエは何の種族ですか？,魚人,巨人,小人,人魚,1,"ジンベエは、魚人族の元七武海です。",1
ルフィの懸賞金が最初に判明したのはいくらでしたか？,3000万ベリー,1億ベリー,3億ベリー,5億ベリー,1,"ルフィの最初の懸賞金は3000万ベリーでした。",2
ゾロの異名は何ですか？,海賊狩り,黒足,泥棒猫,狙撃の王様,1,"ゾロは「海賊狩りのゾロ」として知られています。",1
サンジの異名は何ですか？,黒足,海賊狩り,泥棒猫,狙撃の王様,1,"サンジは「黒足のサンジ」と呼ばれています。",1
ナミの異名は何ですか？,泥棒猫,海賊狩り,黒足,狙撃の王様,1,"ナミは「泥棒猫のナミ」という異名を持っています。",1
ウソップの異名は何ですか？,狙撃の王様,海賊狩り,黒足,泥棒猫,1,"ウソップは「狙撃の王様そげキング」として知られています。",1
チョッパーの懸賞金が最初に判明したのはいくらでしたか？,50ベリー,1億ベリー,3億ベリー,5億ベリー,1,"チョッパーの最初の懸賞金は50ベリーでした。",2
ロビンの異名は何ですか？,悪魔の子,泥棒猫,黒足,海賊狩り,1,"ロビンは「悪魔の子」と呼ばれています。",1
フランキーの異名は何ですか？,鉄人,泥棒猫,黒足,海賊狩り,1,"フランキーは「鉄人フランキー」と呼ばれています。",1
ブルックの異名は何ですか？,鼻歌,泥棒猫,黒足,海賊狩り,1,"ブルックは「鼻唄のブルック」という異名を持っています。",1
ジンベエの異名は何ですか？,海侠,泥棒猫,黒足,海賊狩り,1,"ジンベエは「海侠のジンベエ」として知られています。",1
ゴムゴムの実は何系能力ですか？,超人系,自然系,動物系,論理系,1,"ゴムゴムの実は、体をゴムのように伸ばせる超人系（パラミシア）の悪魔の実です。",1
メラメラの実は何系能力ですか？,自然系,超人系,動物系,論理系,1,"メラメラの実は、炎を操る自然系（ロギア）の悪魔の実です。",1
ヤミヤミの実は何系能力ですか？,自然系,超人系,動物系,論理系,1,"ヤミヤミの実は、闇を操る自然系（ロギア）の悪魔の実です。",1
ヒトヒトの実は何系能力ですか？,動物系,超人系,自然系,論理系,1,"ヒトヒトの実は、人間になれる動物系（ゾオン）の悪魔の実です。",1
