大分類,中分類,小分類,問題ID,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
漫画,名探偵コナン,登場人物,CONAN001,江戸川コナンの正体は次のうち誰？,毛利小五郎,工藤新一,阿笠博士,怪盗キッド,2,江戸川コナンの正体は高校生探偵の工藤新一です。,1
漫画,名探偵コナン,登場人物,CONAN002,毛利蘭の特技は何？,空手,柔道,剣道,合気道,1,毛利蘭は空手部に所属しており、都大会で優勝するほどの腕前です。,1
漫画,名探偵コナン,アイテム,CONAN003,コナンが使う蝶ネクタイ型変声機のダイヤルは何種類？,59種類,58種類,60種類,57種類,2,蝶ネクタイ型変声機は58種類の声が出せます。,2
漫画,名探偵コナン,組織,CONAN004,コナンが体を小さくされた時に飲まされた薬の名前は？,APTX4869,APTX4969,APTX4896,APTX4986,1,コナンが飲まされた薬はAPTX4869（アポトキシンよんはちろくきゅう）です。,1
漫画,名探偵コナン,登場人物,CONAN005,灰原哀の元の名前は？,宮野志保,宮野明美,宮野エレーナ,宮野厚司,1,灰原哀の元の名前は黒の組織の一員だった宮野志保です。,1
漫画,名探偵コナン,用語,CONAN006,「真実はいつもひとつ！」の決め台詞を言うのは誰？,毛利小五郎,工藤新一,江戸川コナン,服部平次,3,この決め台詞は、江戸川コナンが事件を解決する際によく使います。,1
漫画,名探偵コナン,登場人物,CONAN007,毛利小五郎の職業は何？,警察官,探偵,弁護士,医者,2,毛利小五郎は私立探偵です。,1
漫画,名探偵コナン,アイテム,CONAN008,コナンが身につけているキック力増強シューズは何を動力にしている？,太陽電池,乾電池,風力,電気,1,キック力増強シューズは太陽電池で動いています。,2
漫画,名探偵コナン,登場人物,CONAN009,阿笠博士の家で飼われている犬の名前は？,フサエ,コナン,工藤,明美,1,阿笠博士の家で飼われている犬の名前はフサエです。,3
漫画,名探偵コナン,場所,CONAN010,毛利探偵事務所が入っているビルの1階にある喫茶店の名前は？,喫茶ポアロ,喫茶コロンボ,喫茶エルキュール,喫茶ホームズ,1,毛利探偵事務所の下にある喫茶店は喫茶ポアロです。,1
漫画,名探偵コナン,登場人物,CONAN011,大阪を拠点とする高校生探偵の名前は？,工藤新一,服部平次,白馬探,京極真,2,大阪の高校生探偵は服部平次です。,1
漫画,名探偵コナン,組織,CONAN012,黒の組織のボスが使うメールアドレスのプッシュホン番号の音階は何の曲を表す？,七つの子,赤とんぼ,夕焼け小焼け,ちょうちょう,1,黒の組織のボスが使うメールアドレスのプッシュホン番号は「七つの子」の音階です。,2
漫画,名探偵コナン,登場人物,CONAN013,警視庁捜査一課の警部で、目暮警部とよく行動を共にする刑事は誰？,高木渉,佐藤美和子,千葉和伸,白鳥任三郎,1,目暮警部と共に行動する若手刑事は高木渉です。,1
漫画,名探偵コナン,登場人物,CONAN014,鈴木園子の彼氏で、空手の達人として知られる人物は？,京極真,真田貴大,新出智明,風見裕也,1,鈴木園子の彼氏は「蹴りの貴公子」の異名を持つ京極真です。,1
漫画,名探偵コナン,道具,CONAN015,コナンが麻酔銃を撃つときに使用する腕時計型アイテムの名前は？,腕時計型麻酔銃,麻酔銃付き腕時計,麻酔銃型腕時計,腕時計型睡眠銃,1,コナンが麻酔銃を撃つ時に使うのは腕時計型麻酔銃です。,1
漫画,名探偵コナン,場所,CONAN016,工藤新一が住んでいた家の名前は？,工藤邸,毛利邸,阿笠邸,鈴木邸,1,工藤新一が住んでいた家は工藤邸です。,1
漫画,名探偵コナン,登場人物,CONAN017,帝丹高校の教師で、新出先生に片想いしていた女性は誰？,小林澄子,若狭留美,保健の先生,音楽の先生,2,帝丹高校の担任教師である若狭留美先生です。,3
漫画,名探偵コナン,怪盗,CONAN018,神出鬼没の怪盗で、コナンのライバルでもある人物は？,怪盗キッド,ルパン,ホームズ,鼠小僧,1,コナンのライバルでもある怪盗は怪盗キッドです。,1
漫画,名探偵コナン,登場人物,CONAN019,少年探偵団のメンバーで、食いしん坊な男の子は誰？,吉田歩美,小嶋元太,円谷光彦,灰原哀,2,少年探偵団で一番の食いしん坊は小嶋元太です。,1
漫画,名探偵コナン,登場人物,CONAN020,服部平次の幼馴染で、剣道の腕前も優れている女の子は誰？,遠山和葉,大滝吾郎,伊織無我,沖田総司,1,服部平次の幼馴染で剣道も得意なのは遠山和葉です。,1
漫画,名探偵コナン,用語,CONAN021,コナンが事件現場でよく見つける「黒の組織」の人物を示すマークは何？,ジン,ウォッカ,ベルモット,キール,3,黒の組織の人物を示すマークはベルモットのタバコの煙です。,3
漫画,名探偵コナン,登場人物,CONAN022,警視庁捜査一課の刑事で、白鳥警部の婚約者でもある女性は誰？,佐藤美和子,宮本由美,三池苗子,榎本梓,1,白鳥警部の婚約者は佐藤美和子刑事です。,2
漫画,名探偵コナン,用語,CONAN023,コナンが毛利小五郎を眠らせる時に使用する道具は何？,麻酔銃,睡眠薬,催眠術,眠り薬,1,コナンが毛利小五郎を眠らせるために使用するのは腕時計型麻酔銃です。,1
漫画,名探偵コナン,登場人物,CONAN024,大阪府警本部長の息子で、平次とよく行動を共にする刑事は誰？,大滝吾郎,服部平蔵,遠山銀司郎,松田陣平,1,大阪府警本部長の息子で平次と行動を共にするのは大滝吾郎刑事です。,3
漫画,名探偵コナン,アイテム,CONAN025,コナンがスケートボードで移動する時に使用する動力源は何？,ソーラーパネル,エンジン,電池,電力,1,コナンが使用するターボエンジン付きスケートボードはソーラーパネルを動力源としています。,2
漫画,名探偵コナン,登場人物,CONAN026,高校生探偵・工藤新一の母親で、元女優の人物は？,工藤有希子,工藤優作,工藤沙代,工藤美代子,1,工藤新一の母親は元女優の工藤有希子です。,1
漫画,名探偵コナン,登場人物,CONAN027,黒の組織のコードネームを持つメンバーで、女性の姿に変装することが得意なのは誰？,ベルモット,ジン,ウォッカ,バーボン,1,変装が得意なのはベルモットです。,2
漫画,名探偵コナン,登場人物,CONAN028,コナンたちが通う帝丹小学校の担任の先生は誰？,小林澄子,若狭留美,江上先生,村上先生,1,コナンたちが通う帝丹小学校の担任の先生は小林澄子先生です。,1
漫画,名探偵コナン,場所,CONAN029,工藤新一と毛利蘭が初めてデートした場所はどこ？,トロピカルランド,東都タワー,米花デパート,毛利探偵事務所,1,新一と蘭がデートしたのはトロピカルランドです。,1
漫画,名探偵コナン,用語,CONAN030,事件現場で目暮警部がよく言う台詞は何？,「バカな！」「まさか！」「どういうことだ！」「そんな馬鹿な！」,4,目暮警部がよく言うのは「そんな馬鹿な！」です。,1
漫画,名探偵コナン,登場人物,CONAN031,少年探偵団の紅一点で、リボンが特徴の女の子は誰？,吉田歩美,小嶋元太,円谷光彦,灰原哀,1,少年探偵団の紅一点でリボンが特徴なのは吉田歩美です。,1
漫画,名探偵コナン,組織,CONAN032,黒の組織のメンバーで、常にジンと行動を共にしているのは誰？,ウォッカ,ベルモット,バーボン,ライ,1,ジンと行動を共にしているのはウォッカです。,1
漫画,名探偵コナン,登場人物,CONAN033,コナンが変声機で声を出した際、毛利小五郎が座る椅子は何？,リクライニングチェア,安楽椅子,パイプ椅子,ソファー,2,コナンが麻酔銃を撃ち、毛利小五郎が眠る時に座るのは安楽椅子です。,2
漫画,名探偵コナン,登場人物,CONAN034,警視庁捜査一課の鑑識官で、事件現場で様々な証拠品を採取する人物は？,弓長警部,鑑識官,警察犬,科学捜査班,2,事件現場で証拠品を採取するのは鑑識官です。,2
漫画,名探偵コナン,場所,CONAN035,阿笠博士の家と工藤邸の間にある共通の場所は何？,庭,通路,トンネル,秘密基地,1,阿笠博士の家と工藤邸は庭でつながっています。,3
漫画,名探偵コナン,登場人物,CONAN036,毛利蘭の母親で、毛利小五郎の別居中の妻の名前は？,妃英理,毛利蘭,鈴木園子,吉田歩美,1,毛利蘭の母親は弁護士の妃英理です。,1
漫画,名探偵コナン,組織,CONAN037,黒の組織のコードネームを持つメンバーで、FBIの捜査官であるのは誰？,赤井秀一,安室透,ジン,ウォッカ,1,FBIの捜査官で黒の組織に潜入しているのは赤井秀一です。,2
漫画,名探偵コナン,用語,CONAN038,コナンの声優を務めている人物は誰？,高山みなみ,林原めぐみ,小山力也,山口勝平,1,江戸川コナンの声優は高山みなみさんです。,1
漫画,名探偵コナン,登場人物,CONAN039,少年探偵団のメンバーで、眼鏡をかけている頭脳派の男の子は誰？,円谷光彦,小嶋元太,吉田歩美,灰原哀,1,少年探偵団の頭脳派は円谷光彦です。,1
漫画,名探偵コナン,アイテム,CONAN040,コナンが使う犯人追跡メガネのレンズに搭載されている機能は？,盗聴器,望遠鏡,GPS,拡大鏡,3,犯人追跡メガネのレンズにはGPS機能が搭載されています。,2
漫画,名探偵コナン,場所,CONAN041,新一と蘭が幼い頃から通っていた幼稚園の名前は？,帝丹幼稚園,米花幼稚園,東都幼稚園,西多摩幼稚園,1,新一と蘭が通っていた幼稚園は帝丹幼稚園です。,2
漫画,名探偵コナン,登場人物,CONAN042,警視庁交通部交通課の婦警で、宮本由美の親友でもあるのは誰？,三池苗子,佐藤美和子,千葉和伸,高木渉,1,宮本由美の親友で交通課の婦警は三池苗子です。,3
漫画,名探偵コナン,組織,CONAN043,黒の組織のメンバーで、組織の裏切り者であるシェリーを追っているのは誰？,ジン,ウォッカ,ベルモット,バーボン,1,シェリーを追っているのはジンです。,2
漫画,名探偵コナン,登場人物,CONAN044,コナンたちがよく行く喫茶ポアロの店員は誰？,榎本梓,安室透,沖矢昴,世良真純,1,喫茶ポアロの店員は榎本梓です。,1
