大分類,中分類,小分類,問題ID,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
漫画,ワンピース,東の海編,1,ルフィが麦わら帽子をシャンクスから預かったのは何歳の時？,5歳,7歳,9歳,11歳,2,ルフィがシャンクスに麦わら帽子を預けられたのは7歳の時です。,1
漫画,ワンピース,東の海編,2,ゾロがミホークと戦った場所は？,バラティエ,フーシャ村,シロップ村,ココヤシ村,1,ゾロはミホークと海上レストラン・バラティエで戦いました。,2
漫画,ワンピース,東の海編,3,ナミがベルメールさんのために隠していた財産はいくら？,1億ベリー,5000万ベリー,3000万ベリー,1億ベリー以上,3,ナミがベルメールさんのために隠していた財産は1億ベリーでした。,2
漫画,ワンピース,東の海編,4,ウソップがカヤのために作った嘘の病気は何？,ウソップ病,カヤ病,嘘つき病,嘘つきの病,1,ウソップはカヤを励ますために「ウソップ病」という嘘の病気を作りました。,1
漫画,ワンピース,東の海編,5,サンジの出身地は？,ノースブルー,イーストブルー,サウスブルー,ウェストブルー,4,サンジはウェストブルー出身ですが、ゼフに拾われたのはイーストブルーです。,2
漫画,ワンピース,東の海編,6,グランドラインに入るために必要な船の技術は何？,ログポース,永久指針,エターナルポース,ログ記録,1,グランドラインに入るにはログポースが必要です。,1
漫画,ワンピース,東の海編,7,アラバスタ編で登場する歴史の本文（ポーネグリフ）を読めるのは誰？,ロビン,ビビ,コブラ,クロコダイル,1,ポーネグリフを読めるのはロビンだけです。,2
漫画,ワンピース,アラバスタ編,8,チョッパーが食べた悪魔の実は何？,ヒトヒトの実,ウシウシの実,イヌイヌの実,ネコネコの実,1,チョッパーが食べたのはヒトヒトの実です。,1
漫画,ワンピース,アラバスタ編,9,ビビのコードネームは？,ミス・オールサンデー,ミス・ウェンズデー,ミス・フライデー,ミス・マンデー,2,ビビのコードネームはミス・ウェンズデーでした。,1
漫画,ワンピース,アラバスタ編,10,クロコダイルの能力は何？,砂,水,炎,風,1,クロコダイルはスナスナの実の能力者です。,1
漫画,ワンピース,空島編,11,空島での「神」の名前は何？,エネル,ガン・フォール,ワイパー,ルフィ,1,空島の「神」はエネルです。,1
漫画,ワンピース,空島編,12,空島に到達するために使った道具は何？,突き上げる海流,ログポース,エターナルポース,海列車,1,空島には突き上げる海流（ノックアップストリーム）で到達しました。,2
漫画,ワンピース,空島編,13,エネルの悪魔の実は何？,ゴロゴロの実,メラメラの実,ピカピカの実,グラグラの実,1,エネルはゴロゴロの実の能力者です。,2
漫画,ワンピース,空島編,14,空島でルフィが倒した「神」の試練は何？,鉄の試練,紐の試練,玉の試練,土の試練,3,ルフィは玉の試練でエネルを倒しました。,3
漫画,ワンピース,空島編,15,空島に伝わる伝説の木の名前は？,ジャイアントジャック,エデンの木,宝の木,黄金の木,1,空島にはジャイアントジャックという巨大な木があります。,3
漫画,ワンピース,ウォーターセブン編,16,ウォーターセブンの市長の名前は？,アイスバーグ,フランキー,ガレーラ,パウリー,1,ウォーターセブンの市長はアイスバーグです。,1
漫画,ワンピース,ウォーターセブン編,17,ロビンが連れ去られたのはどこの組織？,CP9,CP0,CP7,CP6,1,ロビンはCP9に連れ去られました。,1
漫画,ワンピース,ウォーターセブン編,18,フランキーの体がサイボーグになったのはなぜ？,事故,病気,自分で改造,悪魔の実,1,フランキーは列車にはねられる事故でサイボーグになりました。,2
漫画,ワンピース,ウォーターセブン編,19,エニエス・ロビーでのルフィのギア2は何？,身体能力向上,武装色,見聞色,覇王色,1,ギア2は身体能力の向上を伴う技です。,2
漫画,ワンピース,エニエス・ロビー編,20,そげキングの正体は？,ルフィ,ゾロ,ウソップ,サンジ,3,そげキングはウソップの変装です。,1
漫画,ワンピース,エニエス・ロビー編,21,エニエス・ロビーの正義の門を開けたのは誰？,スパンダム,ルッチ,カク,ジャブラ,1,スパンダムが正義の門を開けました。,2
漫画,ワンピース,スリラーバーク編,22,スリラーバークの支配者は誰？,モリア,ホグバック,アブサロム,ペローナ,1,スリラーバークの支配者はゲッコー・モリアです。,1
漫画,ワンピース,スリラーバーク編,23,ブルックの悪魔の実は何？,ヨミヨミの実,スケスケの実,ホヤホヤの実,コソコソの実,1,ブルックはヨミヨミの実の能力者です。,1
漫画,ワンピース,スリラーバーク編,24,スリラーバークでゾロが受け止めたダメージは誰のもの？,ルフィ,サンジ,ブルック,ナミ,1,ゾロはルフィのダメージを身代わりで受け止めました。,2
漫画,ワンピース,スリラーバーク編,25,モリアが欲しがっていた影の数は？,1000個,500個,200個,100個,1,モリアは1000個の影を集めようとしていました。,3
漫画,ワンピース,シャボンディ諸島編,26,シャボンディ諸島で天竜人を殴ったのは誰？,ルフィ,ゾロ,サンジ,ウソップ,1,ルフィが天竜人を殴りました。,1
漫画,ワンピース,シャボンディ諸島編,27,シャボンディ諸島で麦わらの一味が散り散りになったのは誰の能力？,くま,キッド,ロー,ホーキンス,1,バーソロミュー・くまの能力で麦わらの一味は飛ばされました。,1
漫画,ワンピース,シャボンディ諸島編,28,レイリーの異名は何？,冥王,海賊王,海軍大将,世界政府最高司令官,1,レイリーは「冥王」と呼ばれています。,1
漫画,ワンピース,シャボンディ諸島編,29,シャボンディ諸島でオークションに出されていたのは誰？,ケイミー,ハチ,パッパグ,ココロ,1,ケイミーがオークションに出されました。,2
漫画,ワンピース,シャボンディ諸島編,30,シャボンディ諸島で麦わらの一味を助けたのは誰？,ロー,キッド,ホーキンス,ドレーク,1,ローが麦わらの一味を助けました。,3
漫画,ワンピース,インペルダウン編,31,ルフィがインペルダウンに侵入した目的は？,エースの救出,ロビンの救出,ナミの救出,ゾロの救出,1,ルフィはエースを救出するためにインペルダウンに侵入しました。,1
漫画,ワンピース,インペルダウン編,32,インペルダウンの署長の名前は？,マゼラン,ハンニャバル,サディちゃん,ドミノ,1,インペルダウンの署長はマゼランです。,1
漫画,ワンピース,インペルダウン編,33,インペルダウンでルフィが出会った革命軍の幹部は誰？,イワンコフ,くま,ドラゴン,サボ,1,ルフィはイワンコフと出会いました。,2
漫画,ワンピース,インペルダウン編,34,インペルダウンの地下5.5階にある場所の名前は？,ニューカマーランド,脱出ルート,秘密の通路,隠された部屋,1,地下5.5階はニューカマーランドです。,2
漫画,ワンピース,インペルダウン編,35,インペルダウンのレベル6の名前は？,無限地獄,灼熱地獄,飢餓地獄,極寒地獄,1,レベル6は無限地獄と呼ばれています。,3
漫画,ワンピース,マリンフォード編,36,マリンフォード頂上戦争でエースを殺したのは誰？,赤犬,黄猿,青雉,ガープ,1,エースは赤犬に殺されました。,2
漫画,ワンピース,マリンフォード編,37,マリンフォード頂上戦争で白ひげが放った最後の言葉は？,"ワンピースは実在する",「ゴムゴムの」,「世界は変わる」,「おれは死なない」,1,白ひげは「ワンピースは実在する」と言い残しました。,2
漫画,ワンピース,マリンフォード編,38,ルフィがマリンフォードで再会した人物は誰？,サボ,シャンクス,コビー,ルッチ,3,ルフィはコビーと再会しました。,2
漫画,ワンピース,マリンフォード編,39,ジンベエの魚人空手の師匠は誰？,フィッシャー・タイガー,アーロン,ハチ,オトヒメ,1,ジンベエの師匠はフィッシャー・タイガーです。,3
漫画,ワンピース,マリンフォード編,40,マリンフォード頂上戦争の終結を宣言したのは誰？,シャンクス,センゴク,ガープ,ミホーク,1,シャンクスが戦争の終結を宣言しました。,3
漫画,ワンピース,魚人島編,41,魚人島の姫の名前は？,しらほし,オトヒメ,ココロ,ケイミー,1,魚人島の姫はしらほしです。,1
漫画,ワンピース,魚人島編,42,魚人島に伝わる伝説の乗り物は何？,ノア,ポーネグリフ,古代兵器,海王類,1,魚人島には巨大な船「ノア」があります。,2
漫画,ワンピース,魚人島編,43,魚人島で起きた事件の首謀者は誰？,ホーディ・ジョーンズ,デッケン,カリブー,モリア,1,魚人島の事件の首謀者はホーディ・ジョーンズです。,2
漫画,ワンピース,魚人島編,44,しらほしが持つ古代兵器の名前は？,ポセイドン,プルトン,ウラヌス,ゾオン,1,しらほしは古代兵器ポセイドンです。,2
漫画,ワンピース,魚人島編,45,魚人島が目指すのはどこの地上への移住？,太陽の光,エデン,楽園,新世界,1,魚人島の人々は太陽の光の下で暮らすことを望んでいます。,3
漫画,ワンピース,パンクハザード編,46,パンクハザードでガスを出していたのは誰？,シーザー・クラウン,モネ,ヴェルゴ,ロー,1,ガスを操っていたのはシーザー・クラウンです。,1
漫画,ワンピース,パンクハザード編,47,ローの悪魔の実は何？,オペオペの実,バラバラの実,バクバクの実,ゴロゴロの実,1,ローはオペオペの実の能力者です。,1
漫画,ワンピース,パンクハザード編,48,パンクハザードでローが作った同盟は誰と？,ルフィ,キッド,ホーキンス,ドレーク,1,ローはルフィと海賊同盟を結びました。,2
漫画,ワンピース,パンクハザード編,49,シーザーが作っていたドラッグの名前は？,SAD,スマイル,デビルフルーツ,ポイズン,1,シーザーはSADを作っていました。,2
漫画,ワンピース,パンクハザード編,50,パンクハザードでゾロが斬ったものは何？,ドラゴン,シーザー,ヴェルゴ,雪,1,ゾロはドラゴンを斬りました。,3
漫画,ワンピース,ドレスローザ編,51,ドレスローザの王女の名前は？,レベッカ,ヴィオラ,スカーレット,コアラ,1,ドレスローザの王女はレベッカです。,1
漫画,ワンピース,ドレスローザ編,52,ドレスローザの支配者は誰？,ドフラミンゴ,藤虎,サボ,バルトロメオ,1,ドレスローザの支配者はドンキホーテ・ドフラミンゴです。,1
漫画,ワンピース,ドレスローザ編,53,サボが食べた悪魔の実は何？,メラメラの実,モクモクの実,ゴロゴロの実,ヒエヒエの実,1,サボはメラメラの実を食べました。,1
漫画,ワンピース,ドレスローザ編,54,ドレスローザでドフラミンゴが仕掛けた鳥かごの能力は何？,イトイトの実,パラパラの実,バリバリの実,ホロホロの実,1,ドフラミンゴはイトイトの実の能力者です。,2
漫画,ワンピース,ドレスローザ編,55,ドレスローザで登場したルフィのギア4の名前は？,バウンドマン,タンクマン,スネイクマン,ナイトメア,1,ルフィのギア4の形態の一つはバウンドマンです。,2
漫画,ワンピース,ゾウ編,56,ゾウに住む種族の名前は？,ミンク族,魚人族,巨人族,小人族,1,ゾウに住むのはミンク族です。,1
漫画,ワンピース,ゾウ編,57,ゾウの背中に乗っているのは誰？,ゾウそのもの,ワノ国,ラフテル,ポセイドン,1,ゾウの背中にはゾウそのものがいます。,2
漫画,ワンピース,ゾウ編,58,ゾウでサンジが連れ去られたのは誰に？,ビッグ・マム海賊団,カイドウ海賊団,黒ひげ海賊団,海軍,1,サンジはビッグ・マム海賊団に連れ去られました。,2
漫画,ワンピース,ゾウ編,59,ゾウに存在する「ロードポーネグリフ」の役割は？,ラフテルへの道を示す,世界の秘密を記す,古代兵器の場所を示す,歴史の真実を記す,1,ロードポーネグリフはラフテルへの道を示すものです。,2
漫画,ワンピース,ゾウ編,60,ゾウで登場した新しいポーネグリフの種類は？,ロードポーネグリフ,ヒストリーポーネグリフ,レジェンドポーネグリフ,タイムポーネグリフ,1,ゾウで登場したのはロードポーネグリフです。,3
漫画,ワンピース,ホールケーキアイランド編,61,ビッグ・マムの本名は何？,シャーロット・リンリン,シャーロット・プリン,シャーロット・カタクリ,シャーロット・スムージー,1,ビッグ・マムの本名はシャーロット・リンリンです。,1
漫画,ワンピース,ホールケーキアイランド編,62,サンジの兄弟の名前は？,ジェルマ66,イチジ,ニジ,ヨンジ,1,サンジにはイチジ、ニジ、ヨンジという兄弟がいます。,2
漫画,ワンピース,ホールケーキアイランド編,63,プリンの能力は何？,メモメモの実,ヨミヨミの実,ホロホロの実,スケスケの実,1,プリンはメモメモの実の能力者です。,2
漫画,ワンピース,ホールケーキアイランド編,64,ビッグ・マムの「魂の言葉」で奪われるものは何？,寿命,力,記憶,夢,1,ビッグ・マムの能力で奪われるのは寿命です。,3
漫画,ワンピース,ホールケーキアイランド編,65,ホールケーキアイランドでルフィが倒した最高幹部は誰？,カタクリ,スムージー,クラッカー,ペロスペロー,1,ルフィはカタクリを倒しました。,2
漫画,ワンピース,ワノ国編,66,ワノ国の将軍の名前は？,黒炭オロチ,光月おでん,光月モモの助,光月日和,1,ワノ国の将軍は黒炭オロチです。,1
漫画,ワンピース,ワノ国編,67,ワノ国に伝わる刀の名前は？,閻魔,和道一文字,三代鬼徹,村正,1,ワノ国に伝わる刀の一つは閻魔です。,2
漫画,ワンピース,ワノ国編,68,カイドウの異名は何？,百獣のカイドウ,不死身のカイドウ,最強のカイドウ,暴君カイドウ,1,カイドウは「百獣のカイドウ」と呼ばれています。,1
漫画,ワンピース,ワノ国編,69,ルフィがカイドウと戦うために学んだ覇気は何？,流桜,武装色,見聞色,覇王色,1,ルフィは流桜を習得しました。,2
漫画,ワンピース,ワノ国編,70,ワノ国の花魁の名前は？,小紫,お菊,しのぶ,日和,1,ワノ国の花魁は小紫です。,2
漫画,ワンピース,エッグヘッド編,71,エッグヘッドにいる天才科学者の名前は？,ベガパンク,シーザー・クラウン,ジャッジ,クイーン,1,エッグヘッドにいるのはベガパンクです。,1
漫画,ワンピース,エッグヘッド編,72,エッグヘッドでベガパンクの本体はどこにいる？,パンクレコーズ,研究所内,サニー号,ラボフェーズ,1,ベガパンクの本体はパンクレコーズにいます。,2
漫画,ワンピース,エッグヘッド編,73,エッグヘッドでルフィが食べた未来の食べ物の名前は？,複製肉,合成肉,培養肉,人造肉,1,ルフィが食べたのは合成肉です。,2
漫画,ワンピース,エッグヘッド編,74,エッグヘッドでルフィが戦ったセラフィムのモデルは誰？,くま,ドフラミンゴ,モリア,クロコダイル,1,セラフィムのモデルの一つはくまです。,3
