大分類,中分類,小分類,問題ID,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
漫画,呪術廻戦,登場人物,JJT001,主人公・虎杖悠仁が通う高校の名前は？,都立呪術高等専門学校,東京都立呪術高等専門学校,呪術専門学校,東京都立呪術高等専門学校京都校,2,虎杖悠仁が転入した学校は「東京都立呪術高等専門学校」です。,1
漫画,呪術廻戦,用語,JJT002,呪術師が呪霊を祓うために使うエネルギーは何？,呪力,霊力,魔力,念力,1,呪術師が使用するのは「呪力」です。,1
漫画,呪術廻戦,登場人物,JJT003,虎杖悠仁のクラスメイトで、短気だが仲間思いなのは誰？,伏黒恵,釘崎野薔薇,禪院真希,狗巻棘,2,虎杖のクラスメイトで仲間思いなのは釘崎野薔薇です。,1
漫画,呪術廻戦,能力,JJT004,五条悟の術式「無下限呪術」の基本術式で、空間を収束させる能力は何？,赫,蒼,茈,虚式,2,空間を収束させるのは「蒼（あお）」です。,2
漫画,呪術廻戦,用語,JJT005,呪霊の中でも特に危険な特級呪霊に分類されるのは？,両面宿儺,脹相,真依,東堂葵,1,両面宿儺は特級呪霊です。,1
漫画,呪術廻戦,登場人物,JJT006,禪院家の次期当主候補で、玉犬を操る術式を使うのは誰？,伏黒恵,禪院直哉,禪院真希,禪院真依,1,玉犬を操る術式を使うのは伏黒恵です。,1
漫画,呪術廻戦,能力,JJT007,釘崎野薔薇の術式で、藁人形と釘を使って相手を攻撃する能力は何？,芻霊呪法,共鳴り,黒閃,落花の情,1,藁人形と釘を使うのは「芻霊呪法（すうれいじゅほう）」です。,2
漫画,呪術廻戦,用語,JJT008,呪術師が自身の身を守るために展開する、術式が最も強く発揮される空間を何と呼ぶ？,領域展開,結界術,帳,生得領域,1,自身の術式が強く発揮される空間は「領域展開」です。,1
漫画,呪術廻戦,登場人物,JJT009,東京都立呪術高等専門学校の3年生で、武器を扱うのが得意なのは誰？,禪院真希,狗巻棘,パンダ,東堂葵,1,武器を扱うのが得意なのは禪院真希です。,1
漫画,呪術廻戦,能力,JJT010,狗巻棘の術式で、言葉に呪力を込めて相手を操る能力は何？,呪言,言霊,音言,縛り,1,言葉に呪力を込めるのは「呪言（じゅごん）」です。,1
漫画,呪術廻戦,登場人物,JJT011,呪術高専京都校の生徒で、メカ丸と契約しているのは誰？,与幸吉,西宮桃,加茂憲紀,三輪霞,1,メカ丸と契約しているのは与幸吉です。,3
漫画,呪術廻戦,用語,JJT012,呪力を込めた打撃で空間の歪みを発生させ、威力を増幅させる現象は何？,黒閃,赫,蒼,茈,1,空間の歪みを発生させるのは「黒閃（こくせん）」です。,2
漫画,呪術廻戦,登場人物,JJT013,呪術高専京都校の生徒で、血液を操る術式を使うのは誰？,加茂憲紀,東堂葵,西宮桃,究極メカ丸,1,血液を操る術式を使うのは加茂憲紀です。,1
漫画,呪術廻戦,能力,JJT014,五条悟の術式「無下限呪術」の応用術式で、空間から虚空を生み出し相手を吹き飛ばす能力は何？,茈,赫,蒼,虚式,1,虚空を生み出すのは「茈（むらさき）」です。,2
漫画,呪術廻戦,登場人物,JJT015,呪術高専京都校の生徒で、ブギウギという術式を使うのは誰？,東堂葵,加茂憲紀,西宮桃,三輪霞,1,ブギウギを使うのは東堂葵です。,1
漫画,呪術廻戦,用語,JJT016,呪霊が生まれる原因となる、人間が発する負の感情は何？,呪い,怨念,憎悪,恐怖,1,呪霊が生まれる原因は人間の「呪い」です。,1
漫画,呪術廻戦,登場人物,JJT017,呪術高専の教師で、虎杖悠仁の担任でもあるのは誰？,五条悟,七海建人,家入硝子,伊地知潔高,1,虎杖悠仁の担任は五条悟です。,1
漫画,呪術廻戦,能力,JJT018,七海建人の術式で、対象を7:3の比率に分割し、強制的に弱点を作る能力は何？,十劃呪法,黒閃,芻霊呪法,共鳴り,1,対象を7:3に分割するのは「十劃呪法（とおかっじゅほう）」です。,2
漫画,呪術廻戦,登場人物,JJT019,呪術高専の医師で、反転術式を使って治癒を行うのは誰？,家入硝子,庵歌姫,冥冥,新田明,1,反転術式を使う医師は家入硝子です。,2
漫画,呪術廻戦,用語,JJT020,呪術師が呪霊を封じ込めるために使う、特定の場所に展開される結界を何と呼ぶ？,帳,領域,結界,封印,1,呪霊を封じ込める結界は「帳（とばり）」です。,2
漫画,呪術廻戦,登場人物,JJT021,特級呪術師の一人で、過去に夏油傑と行動を共にしていたのは誰？,乙骨憂太,虎杖悠仁,伏黒恵,五条悟,1,夏油傑と行動を共にしていたのは乙骨憂太です。,2
漫画,呪術廻戦,能力,JJT022,虎杖悠仁の肉体に宿る特級呪霊、両面宿儺の術式は何？,捌と解,赫と蒼,茈と虚式,芻霊呪法と共鳴り,1,両面宿儺の術式は「捌（はち）」と「解（かい）」です。,2
漫画,呪術廻戦,登場人物,JJT023,呪術高専京都校の生徒で、呪術師の家系に生まれた唯一の非術師であるのは誰？,三輪霞,西宮桃,加茂憲紀,東堂葵,1,唯一の非術師であるのは三輪霞です。,3
漫画,呪術廻戦,用語,JJT024,呪力を完全に制御し、肉体能力を極限まで高める技は何？,逕庭拳,黒閃,縛り,反転術式,1,呪力を完全に制御し肉体能力を高めるのは「逕庭拳（けいていけん）」です。,2
漫画,呪術廻戦,登場人物,JJT025,特級呪術師で、過去に呪術高専を辞めて呪詛師となったのは誰？,夏油傑,加茂憲紀,脹相,偽夏油,1,呪術高専を辞めて呪詛師となったのは夏油傑です。,1
漫画,呪術廻戦,能力,JJT026,冥冥の術式で、烏を使って情報を集めたり攻撃させたりする能力は何？,バードストライク,烏操術,黒鳥操術,使役術,1,烏を使うのは「バードストライク」です。,2
漫画,呪術廻戦,登場人物,JJT027,虎杖悠仁が通う杉沢第三高校のオカルト研究部の先輩の名前は？,佐々木,井口,竹内,佐藤,1,オカルト研究部の先輩は佐々木と井口です。,1
漫画,呪術廻戦,用語,JJT028,呪術師が契約によって自身の術式に制約を設けることで、能力を向上させることを何と呼ぶ？,縛り,結界,帳,領域,1,術式に制約を設けるのは「縛り」です。,1
漫画,呪術廻戦,登場人物,JJT029,呪術高専の教師で、いつも気だるげな雰囲気の女性は誰？,庵歌姫,家入硝子,冥冥,新田明,1,気だるげな雰囲気なのは庵歌姫です。,2
漫画,呪術廻戦,能力,JJT030,パンダの術式で、核を入れ替えることで肉体を変化させる能力は何？,核弾頭,獣の核,パンダ核,核変身,2,核を入れ替えるのは「獣の核」です。,3
漫画,呪術廻戦,登場人物,JJT031,呪術高専京都校の生徒で、術式を使わずに呪具を操る女性は誰？,西宮桃,三輪霞,禪院真依,与幸吉,1,呪具を操るのは西宮桃です。,2
漫画,呪術廻戦,用語,JJT032,呪力によって肉体を強化し、常人離れした身体能力を発揮する技は何？,呪力強化,身体強化,肉体強化,呪力操作,1,呪力によって肉体を強化するのは「呪力強化」です。,1
漫画,呪術廻戦,登場人物,JJT033,五条悟の同期で、特級呪術師として活躍しているのは誰？,夏油傑,家入硝子,七海建人,伊地知潔高,1,五条悟の同期は夏油傑と家入硝子です。,1
漫画,呪術廻戦,能力,JJT034,日下部篤也の術式で、簡易的な領域展開を行う能力は何？,簡易領域,領域展延,生得領域,帳,1,簡易的な領域展開は「簡易領域」です。,3
漫画,呪術廻戦,登場人物,JJT035,呪術高専の補助監督で、いつも五条悟に振り回されているのは誰？,伊地知潔高,新田明,日下部篤也,七海建人,1,五条悟に振り回されているのは伊地知潔高です。,1
漫画,呪術廻戦,用語,JJT036,呪霊が人間を襲う際に残す、呪力の痕跡を何と呼ぶ？,残穢,呪痕,呪物,呪詛,1,呪力の痕跡は「残穢（ざんえ）」です。,2
漫画,呪術廻戦,登場人物,JJT037,呪術高専の教師で、呪術師の階級を定めているのは誰？,夜蛾正道,五条悟,庵歌姫,家入硝子,1,呪術師の階級を定めているのは夜蛾正道です。,1
漫画,呪術廻戦,能力,JJT038,真人の術式で、相手の魂に触れることで肉体を改変する能力は何？,無為転変,生得領域,領域展開,呪霊操術,1,魂に触れて肉体を改変するのは「無為転変（むいてんぺん）」です。,2
漫画,呪術廻戦,登場人物,JJT039,虎杖悠仁の祖父の名前は？,虎杖倭助,虎杖甚一,虎杖虎助,虎杖直哉,1,虎杖悠仁の祖父は虎杖倭助です。,1
漫画,呪術廻戦,用語,JJT040,呪術師が呪力を込めた道具で、呪霊を祓うために使われるものを何と呼ぶ？,呪具,呪物,呪符,呪紋,1,呪力を込めた道具は「呪具」です。,1
