大分類,中分類,小分類,問題ID,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
漫画,鋼の錬金術師,登場人物,HAGANE001,主人公のエドワード・エルリックの二つ名は何？,鋼の錬金術師,炎の錬金術師,国家錬金術師,賢者の石,1,エドワード・エルリックは「鋼の錬金術師」と呼ばれています。,1
漫画,鋼の錬金術師,用語,HAGANE002,錬金術の基本原則で、何かを得るためには同等の代価を支払わなければならないという考え方を何と呼ぶ？,等価交換,質量保存の法則,エネルギー保存の法則,錬金術の原則,1,錬金術の基本原則は「等価交換」です。,1
漫画,鋼の錬金術師,登場人物,HAGANE003,エドワードの弟で、全身鎧の姿をしているのは誰？,アルフォンス・エルリック,ロイ・マスタング,リザ・ホークアイ,キング・ブラッドレイ,1,エドワードの弟はアルフォンス・エルリックです。,1
漫画,鋼の錬金術師,能力,HAGANE004,エドワード・エルリックが錬金術を使う際に、手合わせをする必要がないのはなぜ？,真理の扉を見たから,賢者の石を持っているから,生まれつきの才能だから,特別な修行をしたから,1,エドワードは真理の扉を見たため、手合わせなしで錬金術を使えます。,2
漫画,鋼の錬金術師,用語,HAGANE005,錬金術師が人体錬成を行う際に、禁忌とされる行為は何？,死者を蘇らせる,賢者の石を作る,物質を創造する,魂を定着させる,1,人体錬成の禁忌は死者を蘇らせることです。,1
漫画,鋼の錬金術師,登場人物,HAGANE006,「炎の錬金術師」の二つ名を持つ国家錬金術師は誰？,ロイ・マスタング,アレックス・ルイ・アームストロング,マース・ヒューズ,ジャン・ハボック,1,「炎の錬金術師」はロイ・マスタングです。,1
漫画,鋼の錬金術師,用語,HAGANE007,錬金術師が錬成を行う際に、触媒として使用される物質を何と呼ぶ？,賢者の石,錬成陣,触媒,媒介,2,錬成を行う際に使用されるのは「錬成陣」です。,1
漫画,鋼の錬金術師,登場人物,HAGANE008,ロイ・マスタングの副官で、冷静沈着な女性は誰？,リザ・ホークアイ,マリア・ロス,オリヴィエ・ミラ・アームストロング,ウィンリィ・ロックベル,1,ロイ・マスタングの副官はリザ・ホークアイです。,1
漫画,鋼の錬金術師,能力,HAGANE009,ロイ・マスタングの錬金術で、発火布と火花を使って炎を操る能力は何？,炎の錬金術,発火錬成,火炎錬成,爆炎錬成,1,発火布と火花を使って炎を操るのは「炎の錬金術」です。,2
漫画,鋼の錬金術師,用語,HAGANE010,錬金術師が国家錬金術師の資格を得るために受ける試験を何と呼ぶ？,国家錬金術師試験,錬金術師認定試験,国家資格試験,錬金術師選定試験,1,国家錬金術師の資格を得るための試験は「国家錬金術師試験」です。,1
漫画,鋼の錬金術師,登場人物,HAGANE011,アメストリス軍の准将で、「豪腕の錬金術師」の二つ名を持つのは誰？,アレックス・ルイ・アームストロング,バッカニア,マイルズ,オリヴィエ・ミラ・アームストロング,1,「豪腕の錬金術師」はアレックス・ルイ・アームストロングです。,1
漫画,鋼の錬金術師,用語,HAGANE012,錬金術師が真理の扉を開く際に、代価として奪われるものは何？,体の一部,記憶,感情,時間,1,真理の扉を開く際に奪われるのは体の一部です。,1
漫画,鋼の錬金術師,登場人物,HAGANE013,エドワードとアルフォンスの幼馴染で、機械鎧整備士の女性は誰？,ウィンリィ・ロックベル,リザ・ホークアイ,マリア・ロス,メイ・チャン,1,エドワードたちの幼馴染で機械鎧整備士はウィンリィ・ロックベルです。,1
漫画,鋼の錬金術師,能力,HAGANE014,アルフォンス・エルリックの錬金術で、魂を定着させる際に使用されたものは何？,血の錬成陣,賢者の石,魂の錬成陣,人体錬成陣,1,魂を定着させる際に使用されたのは「血の錬成陣」です。,2
漫画,鋼の錬金術師,用語,HAGANE015,錬金術師が使用する、金属製の義手のことを何と呼ぶ？,機械鎧,義手,オートメイル,錬金義手,1,金属製の義手は「機械鎧（オートメイル）」です。,1
漫画,鋼の錬金術師,登場人物,HAGANE016,アメストリス軍の憲兵で、マース・ヒューズの部下だったのは誰？,マリア・ロス,ジャン・ハボック,ハイマンス・ブレダ,ケイン・フューリー,1,マース・ヒューズの部下はマリア・ロスです。,2
漫画,鋼の錬金術師,用語,HAGANE017,錬金術師が人体錬成を行う際に、必要なものは何？,魂のデータ,賢者の石,錬成陣,人体構成データ,4,人体錬成に必要なのは「人体構成データ」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE018,ホムンクルスの一人で、七つの大罪の一つ「傲慢」を司るのは誰？,プライド,ラース,エンヴィー,グラトニー,1,「傲慢」を司るのはプライドです。,2
漫画,鋼の錬金術師,能力,HAGANE019,プライドの能力で、影を操り、攻撃や探索を行う能力は何？,影の錬金術,影操術,影の能力,影の力,1,影を操る能力は「影の錬金術」です。,2
漫画,鋼の錬金術師,用語,HAGANE020,ホムンクルスが持つ、再生能力の源となる物質を何と呼ぶ？,賢者の石,生命の石,再生の石,魂の石,1,ホムンクルスの再生能力の源は「賢者の石」です。,1
漫画,鋼の錬金術師,登場人物,HAGANE021,ホムンクルスの一人で、七つの大罪の一つ「嫉妬」を司るのは誰？,エンヴィー,グラトニー,ラスト,グリード,1,「嫉妬」を司るのはエンヴィーです。,2
漫画,鋼の錬金術師,能力,HAGANE022,エンヴィーの能力で、姿を自由自在に変える能力は何？,変身能力,擬態能力,姿を変える能力,変装能力,1,姿を自由自在に変えるのは「変身能力」です。,2
漫画,鋼の錬金術師,用語,HAGANE023,アメストリス国の最高権力者で、ホムンクルスの一人でもあるのは誰？,キング・ブラッドレイ,フュリー,オリヴィエ・ミラ・アームストロング,マスタング,1,アメストリス国の最高権力者はキング・ブラッドレイです。,1
漫画,鋼の錬金術師,登場人物,HAGANE024,ホムンクルスの一人で、七つの大罪の一つ「暴食」を司るのは誰？,グラトニー,ラスト,グリード,スロウス,1,「暴食」を司るのはグラトニーです。,2
漫画,鋼の錬金術師,能力,HAGANE025,グラトニーの能力で、あらゆるものを飲み込み、異空間に送る能力は何？,真理の扉,虚空の胃袋,異空間転移,ブラックホール,2,あらゆるものを飲み込むのは「虚空の胃袋」です。,3
漫画,鋼の錬金術師,用語,HAGANE026,ホムンクルスを生み出した人物で、「お父様」と呼ばれているのは誰？,フラスコの中の小人,ホーエンハイム,キング・ブラッドレイ,イズミ・カーティス,1,ホムンクルスを生み出したのは「フラスコの中の小人」です。,2
