大分類,中分類,小分類,問題ID,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
漫画,ジョジョの奇妙な冒険,登場人物,JOJO001,第1部の主人公の名前は？,ジョナサン・ジョースター,ジョセフ・ジョースター,空条承太郎,東方仗助,1,第1部の主人公はジョナサン・ジョースターです。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO002,第1部と第2部で主要な能力として登場する、太陽のエネルギーを操る呼吸法は何？,波紋,スタンド,吸血鬼,幽波紋,1,太陽のエネルギーを操る呼吸法は「波紋」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO003,第1部のラスボスで、ジョースター家の宿敵となるのは誰？,ディオ・ブランドー,カーズ,DIO,吉良吉影,1,第1部のラスボスはディオ・ブランドーです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO004,ディオ・ブランドーが石仮面を使って手に入れた能力は何？,吸血鬼,波紋,スタンド,幽波紋,1,ディオが石仮面で手に入れた能力は「吸血鬼」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO005,波紋の修行に使われる、水を入れた特殊な容器は何？,波紋呼吸法,波紋水,波紋の修練器,波紋の鍛錬具,3,波紋の修行に使われるのは「波紋の修練器」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO006,第2部の主人公で、ひょうきんな性格の波紋使いは誰？,ジョセフ・ジョースター,ジョナサン・ジョースター,空条承太郎,東方仗助,1,第2部の主人公はジョセフ・ジョースターです。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO007,第3部以降で登場する、精神エネルギーが具現化した能力を何と呼ぶ？,スタンド,波紋,吸血鬼,幽波紋,1,精神エネルギーが具現化した能力は「スタンド」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO008,第3部の主人公で、クールな性格の高校生は誰？,空条承太郎,ジョセフ・ジョースター,東方仗助,ジョルノ・ジョバァーナ,1,第3部の主人公は空条承太郎です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO009,空条承太郎のスタンドの名前は？,スタープラチナ,ハーミットパープル,ザ・ワールド,クレイジー・ダイヤモンド,1,空条承太郎のスタンドは「スタープラチナ」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO010,スタンド使いが弓矢によってスタンド能力に目覚める道具は何？,弓と矢,スタンドの矢,スタンド使いの矢,能力の矢,2,スタンド能力に目覚める道具は「スタンドの矢」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO011,第3部のラスボスで、ジョースター家の宿敵DIOの名前は？,DIO,ディオ・ブランドー,カーズ,吉良吉影,1,第3部のラスボスはDIOです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO012,DIOのスタンドの名前は？,ザ・ワールド,スタープラチナ,ハーミットパープル,クレイジー・ダイヤモンド,1,DIOのスタンドは「ザ・ワールド」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO013,第4部の主人公で、杜王町の高校生は誰？,東方仗助,空条承太郎,ジョルノ・ジョバァーナ,徐倫,1,第4部の主人公は東方仗助です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO014,東方仗助のスタンドの名前は？,クレイジー・ダイヤモンド,スタープラチナ,ハーミットパープル,ザ・ハンド,1,東方仗助のスタンドは「クレイジー・ダイヤモンド」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO015,第4部の舞台となる架空の都市の名前は？,杜王町,ネアポリス,カメオ,ジョースター邸,1,第4部の舞台は「杜王町」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO016,第4部のラスボスで、杜王町に潜む殺人鬼は誰？,吉良吉影,ディオ・ブランドー,カーズ,DIO,1,第4部のラスボスは吉良吉影です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO017,吉良吉影のスタンドの名前は？,キラークイーン,ハーヴェスト,エコーズ,ヘブンズ・ドアー,1,吉良吉影のスタンドは「キラークイーン」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO018,第5部の主人公で、ギャングスターを目指す少年は誰？,ジョルノ・ジョバァーナ,東方仗助,空条承太郎,徐倫,1,第5部の主人公はジョルノ・ジョバァーナです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO019,ジョルノ・ジョバァーナのスタンドの名前は？,ゴールド・エクスペリエンス,キング・クリムゾン,スティッキー・フィンガーズ,パープル・ヘイズ,1,ジョルノ・ジョバァーナのスタンドは「ゴールド・エクスペリエンス」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO020,第5部の舞台となる国はどこ？,イタリア,エジプト,日本,アメリカ,1,第5部の舞台は「イタリア」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO021,第5部のラスボスで、ギャング組織「パッショーネ」のボスは誰？,ディアボロ,ブローノ・ブチャラティ,レオーネ・アバッキオ,グイード・ミスタ,1,第5部のラスボスはディアボロです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO022,ディアボロのスタンドの名前は？,キング・クリムゾン,ゴールド・エクスペリエンス,スティッキー・フィンガーズ,パープル・ヘイズ,1,ディアボロのスタンドは「キング・クリムゾン」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO023,第6部の主人公で、空条承太郎の娘は誰？,空条徐倫,ジョルノ・ジョバァーナ,東方仗助,ジョセフ・ジョースター,1,第6部の主人公は空条徐倫です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO024,空条徐倫のスタンドの名前は？,ストーン・フリー,ホワイトスネイク,C-MOON,メイド・イン・ヘブン,1,空条徐倫のスタンドは「ストーン・フリー」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO025,第6部の舞台となる刑務所の名前は？,グリーン・ドルフィン・ストリート刑務所,アバカンド刑務所,自由の地刑務所,ストーンオーシャン刑務所,1,第6部の舞台は「グリーン・ドルフィン・ストリート刑務所」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO026,第6部のラスボスで、DIOを崇拝する神父は誰？,エンリコ・プッチ,DIO,ディアボロ,吉良吉影,1,第6部のラスボスはエンリコ・プッチです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO027,エンリコ・プッチのスタンドの最終形態の名前は？,メイド・イン・ヘブン,ホワイトスネイク,C-MOON,グリーンドルフィン,1,エンリコ・プッチのスタンドの最終形態は「メイド・イン・ヘブン」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO028,第7部の主人公で、ジョッキーの少年は誰？,ジョニィ・ジョースター,ジャイロ・ツェペリ,空条承太郎,東方仗助,1,第7部の主人公はジョニィ・ジョースターです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO029,ジョニィ・ジョースターのスタンドの名前は？,タスク,ボール・ブレイカー,スティール・ボール・ラン,回転,1,ジョニィ・ジョースターのスタンドは「タスク」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO030,第7部の舞台となるアメリカ大陸横断レースの名前は？,スティール・ボール・ラン,ジョジョラン,アメリカン・レース,大陸横断レース,1,第7部の舞台は「スティール・ボール・ラン」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO031,第7部でジョニィの相棒となる、鉄球を操る男は誰？,ジャイロ・ツェペリ,ディエゴ・ブランドー,ファニー・ヴァレンタイン,ルーシー・スティール,1,ジョニィの相棒はジャイロ・ツェペリです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO032,ジャイロ・ツェペリの鉄球の技術を何と呼ぶ？,回転,鉄球術,鋼球術,ボール・ブレイカー,1,ジャイロの鉄球の技術は「回転」です。,2
