大分類,中分類,小分類,問題ID,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
漫画,進撃の巨人,登場人物,AOT001,主人公のエレン・イェーガーが所属する調査兵団の兵士は誰？,ミカサ・アッカーマン,アルミン・アルレルト,リヴァイ・アッカーマン,エルヴィン・スミス,1,主人公のエレン・イェーガーは調査兵団に所属しています。,1
漫画,進撃の巨人,用語,AOT002,人間が暮らす領域を囲んでいる巨大な壁の名前は何？,ウォール・マリア,ウォール・ローゼ,ウォール・シーナ,ウォール・エルディア,1,人間が暮らす領域を囲んでいる壁は「ウォール・マリア」「ウォール・ローゼ」「ウォール・シーナ」の3つです。最も外側にあるのがウォール・マリアです。,1
漫画,進撃の巨人,登場人物,AOT003,エレンの幼馴染で、東洋系の美しい女性兵士は誰？,ミカサ・アッカーマン,アルミン・アルレルト,サシャ・ブラウス,クリスタ・レンズ,1,エレンの幼馴染で、東洋系の美しい女性兵士はミカサ・アッカーマンです。,1
漫画,進撃の巨人,能力,AOT004,エレン・イェーガーが持つ巨人の能力は何？,進撃の巨人,超大型巨人,鎧の巨人,女型の巨人,1,エレン・イェーガーが持つ巨人の能力は「進撃の巨人」です。,1
漫画,進撃の巨人,用語,AOT005,巨人の弱点として知られている部位はどこ？,うなじ,目,心臓,脚,1,巨人の弱点はうなじです。,1
漫画,進撃の巨人,登場人物,AOT006,調査兵団の兵士長で、「人類最強の兵士」と呼ばれるのは誰？,リヴァイ・アッカーマン,エルヴィン・スミス,ハンジ・ゾエ,ジャン・キルシュタイン,1,「人類最強の兵士」はリヴァイ・アッカーマンです。,1
漫画,進撃の巨人,用語,AOT007,巨人と戦うために開発された、立体的な機動を可能にする装置は何？,立体機動装置,ワイヤーアンカー,高機動装置,空中機動装置,1,巨人と戦うために開発された装置は「立体機動装置」です。,1
漫画,進撃の巨人,登場人物,AOT008,調査兵団の団長で、冷静沈着な指揮官は誰？,エルヴィン・スミス,リヴァイ・アッカーマン,ハンジ・ゾエ,ミケ・ザカリアス,1,調査兵団の団長はエルヴィン・スミスです。,1
漫画,進撃の巨人,能力,AOT009,ベルトルト・フーバーが持つ巨人の能力は何？,超大型巨人,進撃の巨人,鎧の巨人,女型の巨人,1,ベルトルト・フーバーが持つ巨人の能力は「超大型巨人」です。,1
漫画,進撃の巨人,用語,AOT010,壁の外の世界を調査するために結成された兵団の名前は？,調査兵団,駐屯兵団,憲兵団,訓練兵団,1,壁の外の世界を調査するために結成されたのは「調査兵団」です。,1
漫画,進撃の巨人,登場人物,AOT011,エレンの幼馴染で、頭脳明晰な少年兵士は誰？,アルミン・アルレルト,ミカサ・アッカーマン,コニー・スプリンガー,ジャン・キルシュタイン,1,エレンの幼馴染で頭脳明晰な少年兵士はアルミン・アルレルトです。,1
漫画,進撃の巨人,能力,AOT012,ライナー・ブラウンが持つ巨人の能力は何？,鎧の巨人,進撃の巨人,超大型巨人,女型の巨人,1,ライナー・ブラウンが持つ巨人の能力は「鎧の巨人」です。,1
漫画,進撃の巨人,登場人物,AOT013,調査兵団の分隊長で、巨人の研究に没頭しているのは誰？,ハンジ・ゾエ,リヴァイ・アッカーマン,ミケ・ザカリアス,エルヴィン・スミス,1,巨人の研究に没頭しているのはハンジ・ゾエです。,1
漫画,進撃の巨人,用語,AOT014,巨人の襲撃から人々を守るために、壁の中に駐屯している兵団の名前は？,駐屯兵団,調査兵団,憲兵団,訓練兵団,1,壁の中に駐屯しているのは「駐屯兵団」です。,1
漫画,進撃の巨人,登場人物,AOT015,訓練兵団の卒業生で、巨人を引き寄せる能力を持つのは誰？,ユミル,クリスタ・レンズ,サシャ・ブラウス,コニー・スプリンガー,1,巨人を引き寄せる能力を持つのはユミルです。,2
漫画,進撃の巨人,能力,AOT016,アニ・レオンハートが持つ巨人の能力は何？,女型の巨人,進撃の巨人,超大型巨人,鎧の巨人,1,アニ・レオンハートが持つ巨人の能力は「女型の巨人」です。,1
漫画,進撃の巨人,登場人物,AOT017,調査兵団の兵士で、嗅覚が非常に優れているのは誰？,ミケ・ザカリアス,リヴァイ・アッカーマン,ハンジ・ゾエ,エルヴィン・スミス,1,嗅覚が非常に優れているのはミケ・ザカリアスです。,2
漫画,進撃の巨人,用語,AOT018,壁の中の人々の生活を管理し、治安維持を担当する兵団の名前は？,憲兵団,調査兵団,駐屯兵団,訓練兵団,1,治安維持を担当するのは「憲兵団」です。,1
漫画,進撃の巨人,登場人物,AOT019,訓練兵団の卒業生で、おっとりした性格の少女は誰？,サシャ・ブラウス,クリスタ・レンズ,ユミル,ヒストリア・レイス,1,おっとりした性格の少女はサシャ・ブラウスです。,1
漫画,進撃の巨人,能力,AOT020,ユミルが持つ巨人の能力は何？,顎の巨人,進撃の巨人,超大型巨人,鎧の巨人,1,ユミルが持つ巨人の能力は「顎の巨人」です。,2
漫画,進撃の巨人,登場人物,AOT021,訓練兵団の卒業生で、芋を盗み食いしたことで「芋女」と呼ばれたのは誰？,サシャ・ブラウス,クリスタ・レンズ,ユミル,コニー・スプリンガー,1,芋を盗み食いしたのはサシャ・ブラウスです。,1
漫画,進撃の巨人,用語,AOT022,巨人の秘密や壁の外の世界について記されている書物の名前は何？,イェーガー家の地下室,古文書,歴史書,禁書,1,巨人の秘密などが記されているのは「イェーガー家の地下室」です。,2
漫画,進撃の巨人,登場人物,AOT023,調査兵団の兵士で、立体機動装置の扱いに長けているのは誰？,ジャン・キルシュタイン,コニー・スプリンガー,サシャ・ブラウス,アルミン・アルレルト,1,立体機動装置の扱いに長けているのはジャン・キルシュタインです。,2
漫画,進撃の巨人,能力,AOT024,ジーク・イェーガーが持つ巨人の能力は何？,獣の巨人,進撃の巨人,超大型巨人,鎧の巨人,1,ジーク・イェーガーが持つ巨人の能力は「獣の巨人」です。,2
漫画,進撃の巨人,登場人物,AOT025,訓練兵団の教官で、厳しい指導で知られるのは誰？,キース・シャーディス,ピクシス司令,ダリス・ザックレー,エルヴィン・スミス,1,厳しい指導で知られるのはキース・シャーディスです。,1
漫画,進撃の巨人,用語,AOT026,巨人化能力を持つ人間を何と呼ぶ？,九つの巨人,巨人継承者,人間巨人,変身巨人,2,巨人化能力を持つ人間は「巨人継承者」です。,1
漫画,進撃の巨人,登場人物,AOT027,憲兵団の兵士で、エレンたちを監視しているのは誰？,ヒッチ・ドリス,マルロ・フロイデンベルク,アニ・レオンハート,ライナー・ブラウン,1,憲兵団の兵士でエレンたちを監視しているのはヒッチ・ドリスです。,3
漫画,進撃の巨人,能力,AOT028,ピークが持つ巨人の能力は何？,車力の巨人,進撃の巨人,超大型巨人,鎧の巨人,1,ピークが持つ巨人の能力は「車力の巨人」です。,2
漫画,進撃の巨人,登場人物,AOT029,ウォール・ローゼの南にある駐屯兵団の駐屯地司令で、冷静沈着な判断力を持つのは誰？,ピクシス司令,キース・シャーディス,ダリス・ザックレー,ロッド・レイス,1,ウォール・ローゼの南にある駐屯地司令はピクシス司令です。,1
漫画,進撃の巨人,用語,AOT030,巨人の力を手に入れた者が、13年で寿命を迎えるという法則を何と呼ぶ？,ユミルの呪い,巨人化の呪い,寿命の呪い,力の代償,1,13年で寿命を迎える法則は「ユミルの呪い」です。,2
漫画,進撃の巨人,登場人物,AOT031,訓練兵団の卒業生で、短気だが根は優しい少年兵士は誰？,コニー・スプリンガー,ジャン・キルシュタイン,サシャ・ブラウス,アルミン・アルレルト,1,短気だが根は優しい少年兵士はコニー・スプリンガーです。,1
漫画,進撃の巨人,能力,AOT032,ポルコ・ガリアードが持つ巨人の能力は何？,顎の巨人,進撃の巨人,超大型巨人,鎧の巨人,1,ポルコ・ガリアードが持つ巨人の能力は「顎の巨人」です。,2
漫画,進撃の巨人,登場人物,AOT033,ヒストリア・レイスの真の名前は？,ヒストリア・レイス,クリスタ・レンズ,フリーダ・レイス,ウーリ・レイス,1,ヒストリア・レイスの真の名前は「ヒストリア・レイス」です。,2
漫画,進撃の巨人,用語,AOT034,巨人の口から吐き出される、熱い蒸気を何と呼ぶ？,熱波,蒸気,ガス,熱風,1,巨人の口から吐き出されるのは「熱波」です。,2
漫画,進撃の巨人,登場人物,AOT035,調査兵団の兵士で、リヴァイ班の一員だったのは誰？,ペトラ・ラル,エルド・ジン,オルオ・ボザド,グンタ・シュルツ,1,リヴァイ班の一員だったのはペトラ・ラルです。,1
