大分類,中分類,小分類,問題ID,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
ゲーム,ポケモン赤緑,基本情報,POKEMON_RG001,ポケットモンスター赤・緑が日本で発売された年は西暦何年？,1995年,1996年,1997年,1998年,2,ポケットモンスター赤・緑は1996年に発売されました。,1
ゲーム,ポケモン赤緑,基本情報,POKEMON_RG002,ポケットモンスター赤・緑のゲームボーイソフトの色は何色？,赤と緑,赤と青,赤と黄,緑と青,1,ソフトの色は赤と緑です。,1
ゲーム,ポケモン赤緑,基本情報,POKEMON_RG003,ゲームの舞台となる地方の名前は？,カントー地方,ジョウト地方,ホウエン地方,シンオウ地方,1,ゲームの舞台はカントー地方です。,1
ゲーム,ポケモン赤緑,基本情報,POKEMON_RG004,主人公の初期選択できるポケモン3匹の名前は？,フシギダネ、ヒトカゲ、ゼニガメ,チコリータ、ヒノアラシ、ワニノコ,キモリ、アチャモ、ミズゴロウ,ナエトル、ヒコザル、ポッチャマ,1,初期選択できるのはフシギダネ、ヒトカゲ、ゼニガメです。,1
ゲーム,ポケモン赤緑,基本情報,POKEMON_RG005,主人公の名前としてデフォルトで選択できるものは？,レッド,グリーン,サトシ,タケシ,1,デフォルト名はレッドです。,1
ゲーム,ポケモン赤緑,基本情報,POKEMON_RG006,ライバルの名前としてデフォルトで選択できるものは？,グリーン,レッド,サトシ,シゲル,1,デフォルト名はグリーンです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG007,最初のポケモンをくれる博士の名前は？,オーキド博士,ウツギ博士,オダマキ博士,ナナカマド博士,1,最初のポケモンをくれるのはオーキド博士です。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG008,主人公の母親が住んでいる町は？,マサラタウン,トキワシティ,ニビシティ,ハナダシティ,1,主人公の母親はマサラタウンに住んでいます。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG009,最初のジムリーダーは誰？,タケシ,カスミ,マチス,エリカ,1,最初のジムリーダーはタケシです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG010,ニビシティジムのタイプは？,いわタイプ,みずタイプ,でんきタイプ,くさタイプ,1,ニビシティジムは岩タイプです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG011,ハナダシティジムのジムリーダーは誰？,カスミ,タケシ,マチス,エリカ,1,ハナダシティジムのジムリーダーはカスミです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG012,ハナダシティジムのタイプは？,みずタイプ,いわタイプ,でんきタイプ,くさタイプ,1,ハナダシティジムは水タイプです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG013,クチバシティジムのジムリーダーは誰？,マチス,タケシ,カスミ,エリカ,1,クチバシティジムのジムリーダーはマチスです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG014,クチバシティジムのタイプは？,でんきタイプ,いわタイプ,みずタイプ,くさタイプ,1,クチバシティジムは電気タイプです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG015,タマムシシティジムのジムリーダーは誰？,エリカ,タケシ,カスミ,マチス,1,タマムシシティジムのジムリーダーはエリカです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG016,タマムシシティジムのタイプは？,くさタイプ,いわタイプ,みずタイプ,でんきタイプ,1,タマムシシティジムは草タイプです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG017,セキチクシティジムのジムリーダーは誰？,キョウ,カツラ,ナツメ,サカキ,1,セキチクシティジムのジムリーダーはキョウです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG018,セキチクシティジムのタイプは？,どくタイプ,いわタイプ,みずタイプ,でんきタイプ,1,セキチクシティジムは毒タイプです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG019,ヤマブキシティジムのジムリーダーは誰？,ナツメ,キョウ,カツラ,サカキ,1,ヤマブキシティジムのジムリーダーはナツメです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG020,ヤマブキシティジムのタイプは？,エスパータイプ,いわタイプ,みずタイプ,でんきタイプ,1,ヤマブキシティジムはエスパータイプです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG021,グレンタウンジムのジムリーダーは誰？,カツラ,キョウ,ナツメ,サカキ,1,グレンタウンジムのジムリーダーはカツラです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG022,グレンタウンジムのタイプは？,ほのおタイプ,いわタイプ,みずタイプ,でんきタイプ,1,グレンタウンジムは炎タイプです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG023,トキワシティジムのジムリーダーは誰？,サカキ,キョウ,ナツメ,カツラ,1,トキワシティジムのジムリーダーはサカキです。,1
ゲーム,ポケモン赤緑,登場人物,POKEMON_RG024,トキワシティジムのタイプは？,じめんタイプ,いわタイプ,みずタイプ,でんきタイプ,1,トキワシティジムは地面タイプです。,1
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG025,カントー地方で図鑑に登録されるポケモンの総数は？,150匹,151匹,251匹,386匹,2,カントー地方のポケモンは151匹です。,1
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG026,幻のポケモン「ミュウ」の図鑑番号は？,150,151,1,251,2,ミュウの図鑑番号は151番です。,2
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG027,伝説のポケモン「サンダー」のタイプは？,でんき・ひこう,でんき・ノーマル,でんき・じめん,でんき・エスパー,1,サンダーのタイプは電気・飛行です。,1
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG028,伝説のポケモン「フリーザー」のタイプは？,こおり・ひこう,こおり・ノーマル,こおり・みず,こおり・エスパー,1,フリーザーのタイプは氷・飛行です。,1
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG029,伝説のポケモン「ファイヤー」のタイプは？,ほのお・ひこう,ほのお・ノーマル,ほのお・じめん,ほのお・かくとう,1,ファイヤーのタイプは炎・飛行です。,1
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG030,サイクリングロードで出現する、自転車を乗ったトレーナーが使うポケモンとして有名なのは？,コラッタ,ズバット,アーボ,ディグダ,1,サイクリングロードで有名なのはコラッタです。,3
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG031,シオンタウンにいるポケモンタワーにいる、幽霊の正体は？,ガラガラの母親,ゴースト,ゲンガー,カラカラ,1,幽霊の正体はガラガラの母親です。,2
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG032,ディグダの洞窟で出現するポケモンは？,ディグダ、ダグトリオ,ディグダ、ズバット,ディグダ、モルフォン,ディグダ、ゴース,1,ディグダの洞窟ではディグダとダグトリオが出現します。,1
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG033,ふたご島で出現する伝説のポケモンは？,フリーザー,ファイヤー,サンダー,ミュウツー,1,ふたご島で出現するのはフリーザーです。,2
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG034,発電所で出現する伝説のポケモンは？,サンダー,フリーザー,ファイヤー,ミュウツー,1,発電所で出現するのはサンダーです。,2
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG035,チャンピオンロードで出現する伝説のポケモンは？,ファイヤー,フリーザー,サンダー,ミュウツー,1,チャンピオンロードで出現するのはファイヤーです。,2
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG036,ミュウツーが生息していると言われる洞窟の名前は？,ハナダの洞窟,ななしの洞窟,ふたご島洞窟,トキワの森,1,ミュウツーが生息しているのはハナダの洞窟です。,2
